🐉央视频道,#genre#
CCTV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV-3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV-14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV-5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8

CCTV-4K,https://tv.cry33.com/ys4k.php?id=4k
CCTV-4K,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV-4K,https://hu60.cn/download/cctv/ysp1.php
CCTV-4K,http://159.75.85.63:5679/cctv4k.php
CCTV-4K,http://php.jdshipin.com:8880/cqyx.php?id=CCTV4K
CCTV-4K,http://mtw.so/5VbDUV
CCTV-4K,http://1.62.64.43/cf.v.smtcdns.net/zjbuv52.live.bestvcdn.com.cn/Cf/live/program/live/cctv4k/15000000/mnf.m3u8
CCTV-4K,http://222.211.73.100:4514/hls/PL0000/650300166/index.m3u8
CCTV-8K,http://222.211.73.100:4514/hls/PL0000/650300167/index.m3u8
CCTV-8K,http://qq01xp.serv00.net/2024.php?id=cctv8k
CCTV-8K,https://tv.cry33.com/ys4k.php?id=8k
CCTV-4K,http://php.jdshipin.com:8880/bst.php?id=cctv4k/15000000

CCTV-1,http://116.162.6.192/sxbuv52.live.bestvcdn.com.cn/live/cctv1hd8m/8000000/mnf.m3u8
CCTV-2,http://116.162.6.192/sxbuv52.live.bestvcdn.com.cn/live/cctv2hd8m/8000000/mnf.m3u8
CCTV-3,http://116.162.6.192/sxbuv52.live.bestvcdn.com.cn/live/cctv3hd8m/8000000/mnf.m3u8
CCTV-4,http://116.162.6.192/sxbuv52.live.bestvcdn.com.cn/live/cctv4hd8m/8000000/mnf.m3u8
CCTV-5,http://116.162.6.192/sxbuv52.live.bestvcdn.com.cn/live/cctv5hd8m/8000000/mnf.m3u8
CCTV-6,http://116.162.6.192/sxbuv52.live.bestvcdn.com.cn/live/cctv6hd8m/8000000/mnf.m3u8
CCTV-7,http://116.162.6.192/sxbuv52.live.bestvcdn.com.cn/live/cctv7hd8m/8000000/mnf.m3u8
CCTV-8,http://116.162.6.192/sxbuv52.live.bestvcdn.com.cn/live/cctv8hd8m/8000000/mnf.m3u8
CCTV-9,http://116.162.6.192/sxbuv52.live.bestvcdn.com.cn/live/cctv9hd8m/8000000/mnf.m3u8
CCTV-10,http://116.162.6.192/sxbuv52.live.bestvcdn.com.cn/live/cctv10hd8m/8000000/mnf.m3u8
CCTV-11,http://116.162.6.192/sxbuv52.live.bestvcdn.com.cn/live/cctv11hd8m/8000000/mnf.m3u8
CCTV-12,http://116.162.6.192/sxbuv52.live.bestvcdn.com.cn/live/cctv12hd8m/8000000/mnf.m3u8
CCTV-13,http://116.162.6.192/sxbuv52.live.bestvcdn.com.cn/live/cctv13hd8m/8000000/mnf.m3u8
CCTV-14,http://116.162.6.192/sxbuv52.live.bestvcdn.com.cn/live/cctv14hd8m/8000000/mnf.m3u8
CCTV-15,http://116.162.6.192/sxbuv52.live.bestvcdn.com.cn/live/cctv15hd8m/8000000/mnf.m3u8
CCTV-16,http://116.162.6.192/sxbuv52.live.bestvcdn.com.cn/live/cctv16hd8m/8000000/mnf.m3u8
CCTV-17,http://116.162.6.192/sxbuv52.live.bestvcdn.com.cn/live/cctv17hd8m/8000000/mnf.m3u8

CCTV-1,http://39.134.66.66/PLTV/88888888/224/3221225816/index.m3u8
CCTV-2,http://39.134.66.66/PLTV/88888888/224/3221225599/index.m3u8
CCTV-3,http://39.134.66.66/PLTV/88888888/224/3221225799/index.m3u8
CCTV-4,http://39.134.66.66/PLTV/88888888/224/3221225797/index.m3u8
CCTV-5,http://39.134.66.66/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5+,http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8
CCTV-6,http://39.134.66.66/PLTV/88888888/224/3221225814/index.m3u8
CCTV-7,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
CCTV-8,http://39.134.66.66/PLTV/88888888/224/3221225795/index.m3u8
CCTV-9,http://39.134.66.66/PLTV/88888888/224/3221225676/index.m3u8
CCTV-10,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV-11,http://39.134.66.66/PLTV/88888888/224/3221225517/index.m3u8
CCTV-12,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV-13,http://39.134.66.66/PLTV/88888888/224/3221225812/index.m3u8
CCTV-14,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV-15,http://39.134.66.66/PLTV/88888888/224/3221225513/index.m3u8
CCTV-16,http://39.134.66.66/PLTV/88888888/224/3221225893/index.m3u8
CCTV-17,http://39.134.66.66/PLTV/88888888/224/3221225708/index.m3u8

CCTV-1,http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV-2,http://39.134.66.110/PLTV/88888888/224/3221225599/index.m3u8
CCTV-3,http://39.134.66.110/PLTV/88888888/224/3221225799/index.m3u8
CCTV-4,http://39.134.66.110/PLTV/88888888/224/3221225797/index.m3u8
CCTV-5,http://39.134.66.110/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5+,http://39.134.66.110/PLTV/88888888/224/3221225507/index.m3u8
CCTV-6,http://39.134.66.110/PLTV/88888888/224/3221225814/index.m3u8
CCTV-7,http://39.134.66.110/PLTV/88888888/224/3221225671/index.m3u8
CCTV-8,http://39.134.66.110/PLTV/88888888/224/3221225795/index.m3u8
CCTV-9,http://39.134.66.110/PLTV/88888888/224/3221225676/index.m3u8
CCTV-10,http://39.134.66.110/PLTV/88888888/224/3221225677/index.m3u8
CCTV-11,http://39.134.66.110/PLTV/88888888/224/3221225517/index.m3u8
CCTV-12,http://39.134.66.110/PLTV/88888888/224/3221225669/index.m3u8
CCTV-13,http://39.134.66.110/PLTV/88888888/224/3221225812/index.m3u8
CCTV-14,http://39.134.66.110/PLTV/88888888/224/3221225674/index.m3u8
CCTV-15,http://39.134.66.110/PLTV/88888888/224/3221225513/index.m3u8
CCTV-16,http://39.134.66.110/PLTV/88888888/224/3221225893/index.m3u8
CCTV-17,http://39.134.66.110/PLTV/88888888/224/3221225708/index.m3u8

CCTV-1,http://58.19.38.162:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://58.19.38.162:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://58.19.38.162:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://58.19.38.162:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://58.19.38.162:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://58.19.38.162:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://58.19.38.162:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://58.19.38.162:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://58.19.38.162:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://58.19.38.162:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://58.19.38.162:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://58.19.38.162:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://58.19.38.162:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://58.19.38.162:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://58.19.38.162:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-1,http://222.174.140.242:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://222.174.140.242:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://222.174.140.242:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://222.174.140.242:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://222.174.140.242:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://222.174.140.242:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://222.174.140.242:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://222.174.140.242:9901/tsfile/live/0008_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://222.174.140.242:9901/tsfile/live/0009_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://222.174.140.242:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://222.174.140.242:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-1,http://123.182.60.29:9002/hls/1/index.m3u8
CCTV-2,http://123.182.60.29:9002/hls/2/index.m3u8
CCTV-3,http://121.19.134.109:808/hls/3/index.m3u8
CCTV-4,http://123.182.60.29:9002/hls/4/index.m3u8
CCTV-5,http://121.19.134.109:808/hls/5/index.m3u8
CCTV-6,http://121.19.134.109:808/hls/6/index.m3u8
CCTV-7,http://123.182.60.29:9002/hls/9/index.m3u8
CCTV-8,http://121.19.134.109:808/hls/8/index.m3u8
CCTV-9,http://123.182.60.29:9002/hls/51/index.m3u8
CCTV-10,http://123.182.60.29:9002/hls/10/index.m3u8
CCTV-11,http://123.182.60.29:9002/hls/11/index.m3u8
CCTV-12,http://123.182.60.29:9002/hls/12/index.m3u8
CCTV-13,http://123.182.60.29:9002/hls/13/index.m3u8
CCTV-14,http://123.182.60.29:9002/hls/14/index.m3u8
CCTV-15,http://123.182.60.29:9002/hls/15/index.m3u8
CCTV-17,http://219.147.200.9:18080/newlive/live/hls/17/live.m3u8
CCTV-5+,http://123.182.60.29:9002/hls/17/index.m3u8

CCTV-1,http://122.138.218.254:50085/hls/1/index.m3u8
CCTV-2,http://122.138.218.254:50085/hls/2/index.m3u8
CCTV-3,http://122.138.218.254:50085/hls/3/index.m3u8
CCTV-4,http://122.138.218.254:50085/hls/4/index.m3u8
CCTV-5,http://122.138.218.254:50085/hls/5/index.m3u8
CCTV-6,http://122.138.218.254:50085/hls/6/index.m3u8
CCTV-7,http://122.138.218.254:50085/hls/7/index.m3u8
CCTV-8,http://122.138.218.254:50085/hls/8/index.m3u8
CCTV-9,http://122.138.218.254:50085/hls/9/index.m3u8
CCTV-10,http://122.138.218.254:50085/hls/10/index.m3u8
CCTV-11,http://122.138.218.254:50085/hls/11/index.m3u8
CCTV-12,http://122.138.218.254:50085/hls/12/index.m3u8
CCTV-13,http://122.138.218.254:50085/hls/13/index.m3u8
CCTV-14,http://122.138.218.254:50085/hls/14/index.m3u8
CCTV-15,http://122.138.218.254:50085/hls/15/index.m3u8
CCTV-16,http://122.138.218.254:50085/hls/16/index.m3u8
CCTV-17,http://122.138.218.254:50085/hls/17/index.m3u8

CCTV-1,http://121.19.134.245:808/hls/1/index.m3u8
CCTV-2,http://121.19.134.245:808/hls/2/index.m3u8
CCTV-3,http://121.19.134.245:808/hls/3/index.m3u8
CCTV-4,http://121.19.134.245:808/hls/4/index.m3u8
CCTV-5,http://121.19.134.245:808/hls/5/index.m3u8
CCTV-6,http://121.19.134.245:808/hls/6/index.m3u8
CCTV-7,http://121.19.134.245:808/hls/7/index.m3u8
CCTV-8,http://121.19.134.245:808/hls/8/index.m3u8
CCTV-9,http://121.19.134.245:808/hls/9/index.m3u8
CCTV-10,http://121.19.134.245:808/hls/10/index.m3u8
CCTV-11,http://121.19.134.245:808/hls/11/index.m3u8
CCTV-12,http://121.19.134.245:808/hls/12/index.m3u8
CCTV-13,http://121.19.134.245:808/hls/13/index.m3u8
CCTV-14,http://121.19.134.245:808/hls/14/index.m3u8
CCTV-15,http://121.19.134.245:808/hls/15/index.m3u8
CCTV-17,http://121.19.134.8:808/hls/16/index.m3u8
CCTV-5+,http://121.19.134.245:808/hls/16/index.m3u8

CCTV-1,http://222.223.118.222:2180/live/cctv1/index.m3u8
CCTV-2,http://222.223.118.222:2180/live/cctv2/index.m3u8
CCTV-3,http://222.223.118.222:2180/live/cctv3/index.m3u8
CCTV-4,http://222.223.118.222:2180/live/cctv4/index.m3u8
